title,labels,text
ATEL #12339,Optical,"
We report spectroscopic observations of AT2018lab, discovered by the DLT40
survey on UT 2018 Dec 29.13 in the luminous infrared galaxy (LIRG) IC 2163.
The observations were performed using the FLOYDS spectrograph on Faulkes-South
on UT 2018 Dec 29.46.  The spectrum reveals a mostly featureless blue continuum.
We also note the presence of H-alpha emission in our spectrum with FWHM
of 400 km/s.  This feature could be associated with the host galaxy IC
2163, but is blueshifted from the nominal recessional velocity of the host
by 600 km/s. 

"
ATEL #12340,X-ray,"
On 2018 December 21, MAXI/GSC detected a bright hard X-ray transient source,
MAXI J1631-479, in the Norma region (Kobayashi et al., ATEL#12320). The
X-ray pulsar AX J1631.9-4752/IGR J16320-4751 is within the MAXI error circle
and was suggested to be the source producing the bright transient emission.
However, the Swift/BAT position reported for the bright source (GCN#23550)
is 8.4 arcminutes away from the XMM position of AX J1631.9-4752.  As this
is significantly more than the 3 arcminute uncertainty (90% confidence)
in the Swift/BAT position, we obtained two NuSTAR observations on December
28: a 14 ks observation pointed at the Swift/BAT position and a 12 ks observation
pointed at AX J1631.9-4752. 

In the 14 ks NuSTAR observation, we found a very bright source at R.A.
= 247.806 deg, Decl. = -47.805 deg (J2000) with an uncertainty of 15 arcsec.
This position is consistent with the Swift/BAT position and is not consistent
with the position of AX J1631.9-4752.  In addition, a search of the SIMBAD
database does not show any known source consistent with the NuSTAR position.
Thus, we conclude that MAXI J1631-479 is a new X-ray transient. 

The NuSTAR observations were performed when the source was 34 degrees away
from the sun. As the sun is close to the FOV, the star tracker used for
aspect reconstruction was only available approximately for 2.6 ks, but
we were able to obtain the source position with NuSTAR nominal astrometric
accuracy due to the brightness of the source. 

The source is detected across the 3-79 keV NuSTAR bandpass with a count
rate in excess of 600 c/s (FPMA and FPMB combined).  An absorbed disk-blackbody
plus power-law model provides a reasonably good description of the continuum
with a reduced chi2 of 1.25 for 893 degrees of freedom.  The column density
is (2.9+/-0.2)e22 atoms/cm2 (using wilm abundances), the temperature of
the disk-blackbody is 1.12+/-0.01 keV, and the power-law photon index is
2.39+/-0.02 (90% confidence errors).  The 3-79 keV and 2-10 keV absorbed
fluxes are 1.8e-8 erg/cm2/s and 1.7e-8 erg/cm2/s, respectively.  The residuals
show clear evidence for an iron Kalpha emission line, and adding a broad
gaussian with an equivalent width of 90 eV improves the fit significantly.
This demonstrates that we are seeing a reflection component in the spectrum.

The spectral properties of MAXI J1631-479 indicate that it is very likely
to be an accreting black hole in the soft state.  In the future, further
work on the MAXI and Swift/BAT data may provide more information about
the overall evolution of the current outburst.  The source is still in
outburst, and multi-wavelength observations are encouraged.  Based on the
behavior of other black hole transients, the outburst may last for another
month or more. 

"
ATEL #12341,Optical,"
We report multi-band photometry of the superluminous supernova SN 2018fcg
(ZTF18abmasep) based on CCD images taken with the Wide Field Camera of
the Isaac Newton Telescope (Observatorio del Roque de los Muchachos, La
Palma) from 2018 Oct 12.910 UT to 12.920 UT. 

This supernova was discovered on 2018/08/07.371 by the Zwicky Transient
Facility (ZTF) collaboration and reported to <a href=""https://wis-tns.weizmann.ac.il/object/2018fcg"">TNS</a>
by C. Fremling et al. It was classified as a Type SLSN-I supernova at a
redshift of z=0.101 by R. Lunnan et al. (ATel #11986) and A. Dugas et al.
(ATel #11987). It was also detected by Gaia  
<a href=""http://gsaweb.ast.cam.ac.uk/alerts/alert/Gaia18cms/""> (Gaia18cms)</a>

and ATLAS (ATLAS18ucc), see <a href=""https://wis-tns.weizmann.ac.il/object/2018fcg"">TNS</a>.<br
/><br /> 

We report here the SN position, based on the INT images, calibrated using
the Gaia DR2 catalog: RA (J2000) = 21:09:36.776, Dec (J2000) = +33:28:59.57.
<br /><br /> 

The INT Wide Field Camera  magnitudes of SN 2018fcg, calibrated using Pan-STARRS1
are: <br /><br /> 

g = 21.33 +/- 0.02 (2018 Oct 12.917), exposure time = 300 seconds <br />

r = 20.38 +/- 0.02 (2018 Oct 12.912), exposure time = 300 seconds <br />

i = 19.89 +/- 0.02 (2018 Oct 12.921), exposure time = 300 seconds<br /><br
/> 

These magnitudes are not corrected for the contribution of the host galaxy.<br
/><br /> 

The host galaxy is detected in the g, r, i and z bands of Pan-STARRS1 DR1
(PS1) <a href=""https://ps1images.stsci.edu/cgi-bin/ps1cutouts?pos=21+09+36.776+%2B33+28+59.57&filter=color&filter=g&filter=r&filter=i&filter=z&filter=y&filetypes=stack&auxiliary=data&size=120&output_size=0&verbose=0&autoscale=99.500000&catlist="">(PS1
cutouts (30"" x 30"")</a><br /><br /> 

PS1 J2000 position of the host galaxy: RA (J2000) = 21:09:36.778, Dec (J2000)
= +33:28:59.58. We don't find any offset between the SN and 

host galaxy positions.<br /><br /> 

PS1 Kron magnitudes of the host galaxy:<br /><br /> 

gKmag = 21.5932 +/- 0.1946 <br /> 

rKmag = 21.5675 +/- 0.2349 <br /> 

iKmag = 21.4448 +/- 0.2188 <br /> 

zKmag = 21.0849 +/- 0.2923<br /> 

<br /> 

Based on observations made with the Isaac Newton Telescope operated on
the island of La Palma by the Isaac Newton Group of Telescopes in the Spanish
Observatorio del Roque de los Muchachos of the Instituto de Astrofisica
de Canarias.<br /><br /> 

We thank David Bishop for his wonderful compilation of extragalactic novae
and 
<a href=""http://rochesterastronomy.org/supernova.html"">supernovae.</a>

Isaac Newton Telescope Wide Field Camera r-band image: https://www.flickr.com/photos/160436651@N05/45612987805/
"
ATEL #12342,Optical,"
ePESSTO, the extended Public ESO Spectroscopic Survey for Transient Objects
(see Smartt et al. 2015, A&A, 579, 40 http://www.pessto.org ), reports
the following supernova classifications. Targets were supplied by the Zwicky
Transient Facility (https://www.ztf.caltech.edu/; Kulkarni et al. 2018,
ATel 11266) data stream processed through the Lasair broker (http://lasair.roe.ac.uk/),
the ATLAS survey, see Tonry et al. (2011, PASP, 123, 58) and  
Tonry et al. (ATel #8680). 
All observations were performed on the ESO New Technology Telescope at
La Silla on 2018 Dec 29, using EFOSC2 and Grism 13 (3985-9315A, 18A resolution).

Classifications were done with SNID (Blondin & Tonry, 2007, ApJ, 666, 1024)
and GELATO (Harutyunyan et al.,  
2008,  A&A, 488, 383). Classification spectra and additional details can
be obtained  
from http://www.pessto.org (via WISeREP) and the IAU Transient Name Server.

Survey Name    | IAU Name   | RA (J2000)  | Dec (J2000) | Disc. Date |
Source | Disc Mag |    z   | Type | Phase | Notes 
ZTF18adayhpp |              | 08 29 10.47 | +15 12 44.9  |  20181228 |
ZTF  |  15.37   |        |      |       | (1)   
ZTF18adacoaj | SN2018knf  | 09 09 15.72 | +13 23 07.5 |  20181220  |  
ZTF  |  19.43   | 0.102  |  Ia  |  +11d | (2) 
DLT18ar      | SN2018lab  | 06 16 26.52 | -21 22 32.4 |  20181229  | DLT40
|  18.49   | 0.0092 |  II  |  -2d  | (3)  
ATLAS18bcdi  | SN2018kut  | 10 26 32.78 | -25 29 31.6 |  20181221  | ATLAS
|  17.58   | 0.041  |  Ia  |  +1d  | 
ZTF18acxwsvb | SN2018lao  | 08 43 06.80 | -03 57 59.2 |  20181220  |  
ZTF  |  19.84   | 0.058  |  II  |  +4d  | (4) 
ZTF18adaykvg | AT2018kzr  | 08 28 53.46 | +01 06 38.7 |  20181228  |  
ZTF  |  18.58   |        |      |       | (5) 

(1) No source found at the reported position.

(2) Spectrum shows strong contribution of host galaxy.

(3) Early spectroscopy of this object was reported by Kilpatrick and Foley
(ATel #12339).

(4) Redshift derived from SNID 

(5) Spectrum shows blue continuum with three broad (FWHM is around 30 000
km/s) emission features around 4200, 4700 and 5500 A.  
We did not find reasonable template match. Redshift is unknown. Discovery
was also reported by ATLAS. 

"
ATEL #12343,Optical,"
SALT spectroscopy of the MASTER transient (Gorbovskoy et al., ATel #12338),
detected inside the localization region of FRB181228 (Farah et al., ATel
#12335), was undertaken on 2018 December 29.808 (HJD 2458482.3079).  The
transient, which is in the galaxy LEDA 499631 (2MASS J06092523-4732490),
was observed for 1200 s with the SALT Robert Stobie Spectrograph (RSS)
using the PG900 VPH grating covering the spectral region 3445-7400 &#8491;
at a resolution of R = 1040. The spectrum was fitted using the SNID code
(Blondin & Tonry 2007, ApJ, 666, 1024), with the best match being a SN
Type Ia, 10 days post-maximum, with a redshift in the range 0.025-0.031.
We conclude this SNe is unlikely to be associated with FRB181228. 

"
ATEL #12338,Radio,"
MASTER-SAAO robotic telescope  (Global MASTER-Net: http://observ.pereplet.ru,
Lipunov et al., 2010, Advances in Astronomy, vol. 2010, 30L)  located in
South Africa (South African Astronomical Observatory) was pointed to the
FRB 181228A ( Ferah et al., ATel #12335 ) 17723 sec after trigger time
at 2018-12-28 18:44:13 UT, with upper limit up to  22.0 mag. Observations
started at twilight, immediately after sunset.  The observations began
at zenit distance = 43 deg. The sun  altitude  is -11.0 deg.  

MASTER-OAFA robotic telescope  located in Argentina (OAFA observatory of
San Juan National University) was pointed to the  FRB Alert181228.58 57672
sec after trigger time at 2018-12-29 05:50:03 UT, with upper limit up to
19.0 mag. The observations began at zenit distance = 24 deg. The sun 
altitude  is -33.0 deg.  

The galactic latitude b = -60 deg., longitude l = 98 deg. 

MASTER-OAFA auto-detection system ( Lipunov et al., ""MASTER Global Robotic
Net"", 
Advances in Astronomy, 2010, 30L ) discovered OT source at (RA, Dec) =
06h 09m 25.17s -47d 32m 48.6s on 2018-12-29.34613 UT. The OT unfiltered
magnitude is 17.9 m. 
The OT is seen in 2 images. There is no minor planet at this place. OT
is also visible  on 3  MASTER-SAAO images today night.  

The OT discovered in PGC 499631 Galaxy, approximately 1.5 degree far away
from FRB error line.  
We also see this object in a slightly weaker (by ~ 0.5 magnitude) condition
on the images obtained 2018-12-13 . 

We have reference image without OT on 2017-11-11.33303 UT with magnitude
limit in 'BLANK' filter 19.9m. 

Spectral observations are required. 

The discovery and reference images are available at: 

http://master.sai.msu.ru/static/OT/060925.17-473248.6.png 

Real time updated cover map available here:  

http://master.sai.msu.ru/static//FRB/db/FRB181228A/img/FRB.png 

MASTER Global Robotic Net: http://observ.pereplet.ru
"
ATEL #12336,Infra-Red,"
We are monitoring PKS0346-27 since its Gamma-ray outburst in February 2018
(ATel #11251) with the REM telescope on La Silla (ATel #11269). After the
NIR and optical brightening announced respectively by Carrasco et al. (ATel
#12310) and Kumar et al. (ATel #12324) we obtained a 3061s ToO pointing
by Swift-XRT and UVOT instruments on 2018-12-25.6; nearly simultaneous
r,i,J,H data were collected by our REM monitoring. The source is also very
bright in Gamma-ray since mid December (peaking around 1E-6 ph/s in the
100-300000 MeV range) from the public LAT-monitored sources (https://fermi.gsfc.nasa.gov/ssc/data/access/lat/msl_lc/source/PKS_0346-27)
. 

Swift data were analized with the tools available at the SSDC (www.ssdc.asi.it);
REM data were measured with IRAF/APPHOT using 2MASS and UCAC4 nearby comparison
stars. The X-ray flux was 0.111 +-0.007 c/s: the spectrum was well fitted
by a power law with photon index -1.60 +-0.11 using 12 PHA bins with a
reduced chi square 1.28. Photometry was available for all six UVOT filters
(V,B,U,W1,M2,W2): V= 16.78 +-0.05; B=17.34 +-0.05; U=16.46 +-0.04; W1=16.40
+-0.05; M2=16.55 0.05; W2=16.71 0.04  .  
REM images show the source at H=13.57 +-0.05, half-magnitude fainter than
H=13.04 reported in ATel #12310 by Carrasco et al. on Dec 19;  J=14.54
+-0.05; i=16.35 +-0.05; r=16.65 +-0.03. The optical-NIR spectrum, from
the H to the W2 band, is well fitted by a power law with photon index -2.52
. Overall the spectral energy distribution (SED) is fully consistent with
a Synchrotron emission for the NIR-optical and an Inverse Compton for the
X-ray branch (see figure). 

"
ATEL #12337,Optical,"
The Asiago Transient Classification Program (Tomasella et al. 2014, AN,
335, 841) reports the spectroscopic observation of  AT2018kzc and ATLAS18bchg.
The targets were supplied by TNS (https://wis-tns.weizmann.ac.il) and ATLAS
survey (see Tonry et al., 2011, PASP, 123, 58). 

The observations were performed with the Asiago 1.82m >Copernico Telescope
(+AFOSC; range 340-820 nm; resolution 1.4 nm). 

Survey name | IAU name  | Host galaxy | Disc. Date (UT) | Obs. Date (UT)
| redshift | type | phase  | notes  
AT2018kzc  | SN2018kzc |  Anonymous  |  2018-12-27.97  | 2018-12-28.87
|  0.0378  |  Ia  | premax |   1    
ATLAS18bchg | SN2018kyi |  Anonymous  |  2018-12-27.87  | 2018-12-28.91
|  0.0214  |  Ia  | premax |   2    

(1) Spectrum vero similar to that of SN 1995D about 6 days before B maximum.
The expansion velocity deduced from the SiII 635.5nm minimum is about 11300
km/s. The redshift has been deduced from the SN spectral fitting. 

(2) Spectrum vero similar to that of SN 1994D about 9 days before B maximum.
The expansion velocity deduced from the SiII 635.5nm minimum is about 11100
km/s. The redshift has been deduced from the SN spectral fitting. 

The classification was performed using the GELATO (Harutyunyan et 
al. 2008, A&A, 488, 383) 
and SNID (Blondin and Tonry 2007, ApJ, 
666, 1024) tools.  

The Asiago classification spectra are posted at the website http://sngroup.oapd.inaf.it.

"
ATEL #12335,Radio,"
At UTC 2018-12-28-13:48:50.1 (2018-12-28.5755799), we found a bright fast
radio burst as part of the ongoing search program (UTMOST), at the Molonglo
telescope. 

Molonglo is a 1.6 km long East-West array (Bailes et al 2017, PASA, 34,
45) and was operating in drift-scan mode with pointing centred on the meridian
at the time of detection. Source localisation is excellent in Right Ascension
(5 arcsec at 1-sigma) but poor in 
Declination (~1.2 deg at 1-sigma) (see Caleb et al 2017 MNRAS 468, 3746).

FRB181228
was found during a blind FRB search programme in real-time using an automated
GPU-accelerated/machine learning based pipeline and the raw voltages were
recorded for offline processing. 

The optimal dispersion measure (DM) that maximizes the signal-to-noise
ratio is: 
354 pc cm^-3
. The DM estimate of NE2001 model is ~58 pc cm^-3, and YMW16 model is ~61
pc cm^-3 at this position, resulting in an intergalactic excess of ~290
pc cm^-3. The upper limit on the DM-inferred redshift is thus 
z ~ 0.26
. 

An early estimate (lower limit) of the apparent fluence of the event is
~ 18 Jy ms (corrected for attenuation of the primary beam in the RA direction,
but not in the Dec direction), width ~ 2.19 ms, with a detection signal-to-noise
ratio = 12. 

The most likely position is RA = 06:09:54.5, DEC = -45:59:00, J2000, Galactic:
Gl = 253.3915 deg, Gb = -26.0633 deg. The 95% confidence localisation arc
is as follows: (RA, DEC) in (hours, deg) 

6.152928 -48.822722 

6.153536 -48.321778 

6.154128 -47.820833 

6.154706 -47.319889 

6.155267 -46.818972 

6.155814 -46.318028 

6.156344 -45.817083 

6.156864 -45.316139 

6.157369 -44.815167 

6.157861 -44.314222 

6.158342 -43.813278 

6.158808 -43.312333 

6.159264 -42.811389  

A formula describing the localisation arc is:

RA = 6.016988 - 4.092281e-3*(DEC - 45.967341)  - 2.804353e-05*(DEC - 45.967341)**2

where RA is in hours, Dec is in deg, and is valid in the Dec range [-50.3,-41.6]
</pr> 

For the dispersion sweep, and the localisation plots, follow  
<a href=https://www.dropbox.com/sh/vciihbcfnwy3ggo/AADFfwEW-ob3hjna33y1z_Kna?dl=0>this
link</a> 

Follow-up observations of the FRBs are encouraged.

FRB181228: https://www.dropbox.com/sh/vciihbcfnwy3ggo/AADFfwEW-ob3hjna33y1z_Kna?dl=0
"
ATEL #12332,Supernovae,"
We report optical follow-up observations of the ATLAS18bcde/AT2018kpo (Smartt
et al. ATel #12326, T.-W. Chen ATel #12329, J. Wang et al. ATel #12330),
with the 0.7m robotic GROWTH-India telescope at the Indian Astronomical
Observatory. The target was observed on 2018/12/25 in g, r and i filters.
Magnitudes were calibrated using PanSTARRs reference stars in the field.

The estimated magnitudes are: 

MJD &emsp;&emsp;&ensp; Filter &ensp; Magnitude 

58477.771 &nbsp; g &nbsp; 17.36 &plusmn 0.04 

58477.778 &nbsp; r &nbsp; 17.61 &plusmn 0.04 

58477.788 &nbsp; i &nbsp; 17.85 &plusmn 0.08 

The magnitudes are consistent with those reported by Chen (Atel #12329).

GROWTH India telescope is a 70-cm telescope set up by the Indian Institute
of Astrophysics and the Indian Institute of Technology Bombay with support
from the Indo-US Science and Technology Forum (IUSSTF) and the Science
and Engineering Research Board (SERB) of the Department of Science and
Technology (DST), Government of India (https://sites.google.com/view/growthindia/).
It is located at the Indian Astronomical Observatory (Hanle), operated
by the Indian Institute of Astrophysics (IIA). 

"
