id,x,y,z,result,truth
26513,0.164698784,0.237390979,0.96227437,19.39098972,1
59567,0.73190823,0.007764805,0.248494472,1.804185571,1
77881,0.622813753,0.781295339,0.216635599,4.197757824,1
10550,0.178394108,0.419922759,0.833924928,1.153391356,1
39361,0.228181571,0.774261814,0.346076835,0.801335823,1
53422,0.813935527,0.504569998,0.380426066,62.66938926,1
69953,0.424789108,0.726308827,0.491528382,2.029843776,0
15765,0.656765253,0.313500043,0.773519615,5.350606782,1
87197,0.838304053,0.006527132,0.536244485,0.712532872,0
60164,0.912481517,0.903611363,0.749644662,2.855622865,1
46646,0.168058205,0.110370419,0.970894486,1.679178546,1
78663,0.803053774,0.839385773,0.324497649,1.038434632,1
59164,0.057758918,0.922245181,0.511315185,2.702643473,1
93888,0.188162113,0.890995988,0.703992533,4.372296369,1
31748,0.523568928,0.993908873,0.093834454,1559.655092,1
17194,0.829579432,0.169830707,0.541809601,16.52319408,1
31774,0.836415128,0.327395645,0.78597737,1.422586993,1
10463,0.521704141,0.580834496,0.882990527,24.5683973,1
14398,0.869165261,0.902591156,0.224636928,1.179987611,1
85027,0.077888765,0.955504797,0.663200579,3.900270783,0
63549,0.721078446,0.376643541,0.967119533,0.477126691,1
34161,0.996997536,0.273625646,0.335567428,9.161541373,0
10709,0.692102952,0.25499018,0.39231695,4.844683121,0
24377,0.277003199,0.493869535,0.533470589,3.594939578,1
87190,0.151857213,0.987430296,0.608593676,198.8454753,1
17083,0.980006128,0.629783877,0.197536167,1.29344906,1
42079,0.904946925,0.840642297,0.468779849,0.040116667,1
93691,0.706158877,0.411464807,0.797346123,14.02790592,1
82888,0.938216808,0.120055367,0.847261142,7.171624488,0
57982,0.195639217,0.114870651,0.974910652,3.973145974,1
94811,0.68669991,0.262422982,0.095098807,1.356421905,1
12437,0.673101793,0.362870056,0.919885283,2.16673787,1
53147,0.382767088,0.025382583,0.779688612,394.9720686,1
75317,0.287020276,0.13620097,0.80607318,0.669743739,0
64716,0.875577592,0.16754149,0.879434167,1.422738597,1
69542,0.056378271,0.347779602,0.688431138,2.844304352,1
11232,0.180138546,0.061501112,0.442392459,0.324085445,1
6165,0.429202547,0.656476916,0.735674222,3.109287266,1
6261,0.377271021,0.184012275,0.687769967,2383.541301,1
37079,0.041479335,0.822223405,0.958852817,1.177896128,1
76633,0.84625948,0.80491254,0.097046969,0.301652777,1
45250,0.703286843,0.523071043,0.820005033,2.461952206,1
17109,0.934753858,0.440252482,0.109537173,8.772232648,1
99384,0.261389969,0.006873402,0.317668117,24.14966156,1
54700,0.466746049,0.211441927,0.422072897,0.873455042,1
28922,0.573088888,0.526416224,0.57059402,0.953325329,1
82729,0.38423794,0.690189295,0.608894996,1.531557739,1
71701,0.569928802,0.396172713,0.235737045,2.259163738,1
77432,0.380427644,0.43853153,0.452332896,0.797153741,1
35905,0.434864391,0.374885021,0.44253561,24.15845864,1
29341,0.310403239,0.54505617,0.476919875,5.920371127,1
97374,0.243846296,0.562285546,0.186613407,1.696784115,1
91831,0.66540451,0.434335129,0.776987064,0.695806908,1
85851,0.855281909,0.968160646,0.568484467,1.390474054,1
24261,0.620991273,0.129803938,0.17017322,0.668559861,1
55141,0.42748995,0.229143476,0.789543261,1.92774605,1
24913,0.856073278,0.467641408,0.023322781,10.89629681,1
34932,0.872624256,0.898079698,0.059397107,9.548872124,1
78777,0.633305606,0.880349785,0.749556589,0.416145487,1
39092,0.996490155,0.281342854,0.345749406,155.4499368,0
82458,0.506913406,0.044908686,0.684816654,21.52215973,1
91654,0.022730046,0.798749567,0.455148815,0.040484515,1
52512,0.083026094,0.859536902,0.355468308,1.820719897,1
72171,0.785425993,0.706293858,0.728913713,0.491492172,1
1362,0.096964898,0.690837892,0.448698289,2.342823851,1
16472,0.988242481,0.373518723,0.320118359,0.540460965,1
55469,0.086559797,0.328022213,0.166412023,48687.2953,1
68763,0.914898262,0.288974271,0.565910741,0.065055353,0
29223,0.536637827,0.844336613,0.700862839,19.38408521,0
99603,0.558643089,0.369400195,0.27218017,401.5795305,1
89414,0.98638676,0.06482106,0.815814685,3.512282754,1
57874,0.754070061,0.537700616,0.333279581,3.714498916,1
19310,0.254917123,0.117034102,0.835728924,0.584931305,1
22853,0.407141741,0.332254748,0.015170853,0.451130929,1
55558,0.636620489,0.742746204,0.96962726,8.975662419,1
150,0.794259818,0.646823566,0.084232131,1.010187319,1
38213,0.729770931,0.562476668,0.104741776,107.8754528,1
85490,0.19721065,0.649755058,0.43538135,0.183916162,1
70770,0.708483452,0.576482603,0.904124423,5.478537453,1
98697,0.267420659,0.426845614,0.627264742,2.899582415,0
3537,0.972718852,0.818439925,0.666547057,0.659934979,1
72126,0.846006436,0.00826999,0.786283974,0.870140892,1
25633,0.652900873,0.802160038,0.393889485,0.681643679,1
68919,0.544530676,0.472783221,0.309663661,4.696899119,0
41487,0.122351096,0.150761732,0.115092983,1.285575618,1
